Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
S P D;14787953;39.2;14025763;37.0
C D U;14168527;37.5;13045745;34.5
C S U;3859244;10.2;3715827;9.8
F.D.P.;1760496;4.7;3440911;9.1
GRUENE;2649459;7.0;3126256;8.3
A S D;3151;0.0;1834;0.0
B P;8024;0.0;26367;0.1
C.B.V.;741;0.0;5282;0.0
ZENTRUM;4020;0.0;19035;0.1
MUENDIGE;611;0.0;24630;0.1
FRAUEN;0;0.0;62904;0.2
F A P;349;0.0;405;0.0
M L P D;596;0.0;13422;0.0
N P D;182880;0.5;227054;0.6
OE D P;40765;0.1;109152;0.3
PATRIOTEN;27352;0.1;22732;0.1
FAMILIE;130;0.0;754;0.0
F S U;110;0.0;788;0.0
U A P;352;0.0;246511;0.7
