Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;2973458.0;30.1;2566719.0;26.0
Sozialdemokratische Partei Deutschlands;3068628.0;31.1;2880226.0;29.1
Alternative für Deutschland;705020.0;7.1;717510.0;7.3
Freie Demokratische Partei;851337.0;8.6;1130154.0;11.4
DIE LINKE;317869.0;3.2;366947.0;3.7
BÜNDNIS 90/DIE GRÜNEN;1500696.0;15.2;1587067.0;16.1
Christlich-Soziale Union in Bayern e.V.;;;;
FREIE WÄHLER;97782.0;1.0;64990.0;0.7
PARTEI MENSCH UMWELT TIERSCHUTZ;11068.0;0.1;136195.0;1.4
Piratenpartei Deutschland;6629.0;0.1;36789.0;0.4
Ökologisch-Demokratische Partei;1394.0;0.0;8052.0;0.1
DEMOKRATIE IN BEWEGUNG;;;;
Bayernpartei;;;;
Marxistisch-Leninistische Partei Deutschlands;5894.0;0.1;3476.0;0.0
Menschliche Welt - für das Wohl und Glücklichsein aller;;;;
Deutsche Kommunistische Partei;2285.0;0.0;2556.0;0.0
Bürgerrechtsbewegung Solidarität;;;;
Partei der Humanisten;488.0;0.0;7685.0;0.1
Gartenpartei;;;;
Die Urbane. Eine HipHop Partei;;;4729.0;0.0
Basisdemokratische Partei Deutschland;111606.0;1.1;99217.0;1.0
Bündnis C - Christen für Deutschland;1405.0;0.0;10128.0;0.1
Bürgerbewegung für Fortschritt und Wandel;;;;
DER DRITTE WEG;;;;
diePinken/BÜNDNIS21;;;;
Europäische Partei LIEBE;873.0;0.0;12967.0;0.1
Partei des Fortschritts;;;3228.0;0.0
Südschleswigscher Wählerverband;;;;
UNABHÄNGIGE für bürgernahe Demokratie;1020.0;0.0;;
Volt Deutschland;24138.0;0.2;36039.0;0.4
Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen;1086.0;0.0;;
DIE SONSTIGEN - X;;;;
Familien-Partei Deutschlands;;;;
Graue Panther;;;;
Klimaliste Baden-Württemberg;;;;
Thüringer Heimatpartei;;;;
Übrige;14134.0;0.1;;
