Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;1960561.0;27.7;1806548.0;25.5
CDU;;;;
CSU;3889990.0;55.0;3494309.0;49.2
GRÜNE;449976.0;6.4;559941.0;7.9
FDP;353503.0;5.0;673817.0;9.5
Die Linke.;201865.0;2.9;244701.0;3.4
Offensive D;;;;
REP;11985.0;0.2;73619.0;1.0
NPD;126059.0;1.8;95196.0;1.3
Die Tierschutzpartei;;;;
GRAUE;;;22380.0;0.3
PBC;10947.0;0.2;17482.0;0.2
DIE FRAUEN;;;17425.0;0.2
FAMILIE;9287.0;0.1;45396.0;0.6
BüSo;7027.0;0.1;5501.0;0.1
BP;16047.0;0.2;35543.0;0.5
ZENTRUM;;;;
Deutschland;;;;
AGFG;;;;
APPD;;;;
50Plus;;;;
MLPD;218.0;0.0;3448.0;0.0
Die PARTEI;;;;
PSG;;;;
Pro DM;;;;
CM;;;;
DSU;;;;
HP;374.0;0.0;;
HUMANWIRTSCHAFTS- PARTEI;;;;
STATT Partei;;;;
UNABHÄNGIGE;5205.0;0.1;;
Übrige;23525.0;0.3;;
