Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;666709.0;25.2;649807.0;24.5
CDU;940306.0;35.5;795316.0;30.0
CSU;;;;
GRÜNE;94127.0;3.6;126850.0;4.8
FDP;176889.0;6.7;269623.0;10.2
Die Linke.;590726.0;22.3;603824.0;22.8
Offensive D;;;;
REP;5900.0;0.2;13112.0;0.5
NPD;131718.0;5.0;126701.0;4.8
Die Tierschutzpartei;;;;
GRAUE;;;;
PBC;7434.0;0.3;16549.0;0.6
DIE FRAUEN;;;;
FAMILIE;;;;
BüSo;22417.0;0.8;14641.0;0.6
BP;;;;
ZENTRUM;;;;
Deutschland;;;;
AGFG;;;21350.0;0.8
APPD;1026.0;0.0;;
50Plus;;;;
MLPD;644.0;0.0;3742.0;0.1
Die PARTEI;;;;
PSG;;;6549.0;0.2
Pro DM;;;;
CM;;;;
DSU;1655.0;0.1;;
HP;;;;
HUMANWIRTSCHAFTS- PARTEI;639.0;0.0;;
STATT Partei;;;;
UNABHÄNGIGE;1514.0;0.1;;
Übrige;4343.0;0.2;;
