Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;459850.0;31.8;432778.0;29.8
CDU;420605.0;29.1;372435.0;25.7
CSU;;;;
GRÜNE;51835.0;3.6;69976.0;4.8
FDP;71968.0;5.0;115009.0;7.9
Die Linke.;368228.0;25.4;378340.0;26.1
Offensive D;;;;
REP;;;9966.0;0.7
NPD;57464.0;4.0;52988.0;3.7
Die Tierschutzpartei;;;;
GRAUE;;;13617.0;0.9
PBC;1085.0;0.1;;
DIE FRAUEN;;;;
FAMILIE;4971.0;0.3;;
BüSo;;;;
BP;;;;
ZENTRUM;;;;
Deutschland;;;;
AGFG;;;;
APPD;;;;
50Plus;;;;
MLPD;1595.0;0.1;5668.0;0.4
Die PARTEI;;;;
PSG;;;;
Pro DM;;;;
CM;;;;
DSU;;;;
HP;;;;
HUMANWIRTSCHAFTS- PARTEI;;;;
STATT Partei;;;;
UNABHÄNGIGE;;;;
Übrige;10257.0;0.7;;
