Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;326130.0;32.9;314830.0;31.7
CDU;316169.0;31.9;293316.0;29.6
CSU;;;;
GRÜNE;34904.0;3.5;39379.0;4.0
FDP;42840.0;4.3;62049.0;6.3
Die Linke.;231205.0;23.3;234702.0;23.7
Offensive D;;;;
REP;;;;
NPD;32944.0;3.3;34747.0;3.5
Die Tierschutzpartei;;;;
GRAUE;;;6766.0;0.7
PBC;740.0;0.1;2981.0;0.3
DIE FRAUEN;;;;
FAMILIE;;;;
BüSo;;;;
BP;;;;
ZENTRUM;;;;
Deutschland;;;;
AGFG;;;;
APPD;;;;
50Plus;;;;
MLPD;1179.0;0.1;2949.0;0.3
Die PARTEI;;;;
PSG;;;;
Pro DM;;;;
CM;;;;
DSU;;;;
HP;;;;
HUMANWIRTSCHAFTS- PARTEI;;;;
STATT Partei;;;;
UNABHÄNGIGE;;;;
Übrige;4070.0;0.4;;
