Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;761302.0;44.5;655361.0;38.2
CDU;733004.0;42.8;624510.0;36.4
CSU;;;;
GRÜNE;73345.0;4.3;144712.0;8.4
FDP;65315.0;3.8;173320.0;10.1
Die Linke.;48634.0;2.8;78755.0;4.6
Offensive D;;;;
REP;;;;
NPD;17497.0;1.0;17061.0;1.0
Die Tierschutzpartei;;;;
GRAUE;;;;
PBC;;;;
DIE FRAUEN;;;;
FAMILIE;12756.0;0.7;20259.0;1.2
BüSo;;;;
BP;;;;
ZENTRUM;;;;
Deutschland;;;;
AGFG;;;;
APPD;;;;
50Plus;;;;
MLPD;;;1131.0;0.1
Die PARTEI;;;;
PSG;;;;
Pro DM;;;;
CM;;;;
DSU;;;;
HP;;;;
HUMANWIRTSCHAFTS- PARTEI;;;;
STATT Partei;;;;
UNABHÄNGIGE;;;;
Übrige;761.0;0.0;;
