Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;2249746.0;47.3;2058174.0;43.2
CDU;1857583.0;39.0;1599947.0;33.6
CSU;;;;
GRÜNE;224575.0;4.7;354853.0;7.4
FDP;186474.0;3.9;426341.0;8.9
Die Linke.;168205.0;3.5;205200.0;4.3
Offensive D;;;;
REP;;;;
NPD;62313.0;1.3;59744.0;1.3
Die Tierschutzpartei;;;27404.0;0.6
GRAUE;;;16910.0;0.4
PBC;5384.0;0.1;11107.0;0.2
DIE FRAUEN;;;;
FAMILIE;;;;
BüSo;;;2188.0;0.0
BP;;;;
ZENTRUM;;;;
Deutschland;;;;
AGFG;570.0;0.0;;
APPD;;;;
50Plus;;;;
MLPD;440.0;0.0;1911.0;0.0
Die PARTEI;;;;
PSG;;;;
Pro DM;;;3869.0;0.1
CM;;;;
DSU;;;;
HP;;;;
HUMANWIRTSCHAFTS- PARTEI;;;;
STATT Partei;496.0;0.0;;
UNABHÄNGIGE;673.0;0.0;;
Übrige;3588.0;0.1;;
