Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;681591.0;36.8;637674.0;34.3
CDU;483014.0;26.1;408715.0;22.0
CSU;;;;
GRÜNE;229849.0;12.4;254546.0;13.7
FDP;70471.0;3.8;152157.0;8.2
Die Linke.;321714.0;17.4;303630.0;16.4
Offensive D;;;;
REP;4362.0;0.2;9947.0;0.5
NPD;33508.0;1.8;29070.0;1.6
Die Tierschutzpartei;;;;
GRAUE;;;35119.0;1.9
PBC;;;;
DIE FRAUEN;1327.0;0.1;8620.0;0.5
FAMILIE;;;;
BüSo;10320.0;0.6;3494.0;0.2
BP;;;;
ZENTRUM;;;;
Deutschland;;;;
AGFG;;;;
APPD;1992.0;0.1;2914.0;0.2
50Plus;;;;
MLPD;296.0;0.0;1254.0;0.1
Die PARTEI;3838.0;0.2;7873.0;0.4
PSG;;;1623.0;0.1
Pro DM;;;;
CM;;;;
DSU;;;;
HP;754.0;0.0;;
HUMANWIRTSCHAFTS- PARTEI;;;;
STATT Partei;;;;
UNABHÄNGIGE;2844.0;0.2;;
Übrige;5388.0;0.3;;
