Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;4658692.0;45.5;4096112.0;40.0
CDU;4161570.0;40.7;3524351.0;34.4
CSU;;;;
GRÜNE;433372.0;4.2;782551.0;7.6
FDP;422724.0;4.1;1024924.0;10.0
Die Linke.;425709.0;4.2;529967.0;5.2
Offensive D;;;;
REP;3020.0;0.0;35390.0;0.3
NPD;97166.0;0.9;80512.0;0.8
Die Tierschutzpartei;7341.0;0.1;49549.0;0.5
GRAUE;;;37135.0;0.4
PBC;3445.0;0.0;16957.0;0.2
DIE FRAUEN;;;;
FAMILIE;8645.0;0.1;42421.0;0.4
BüSo;;;2607.0;0.0
BP;;;;
ZENTRUM;1297.0;0.0;4010.0;0.0
Deutschland;1473.0;0.0;9643.0;0.1
AGFG;;;;
APPD;;;;
50Plus;;;;
MLPD;4625.0;0.0;5815.0;0.1
Die PARTEI;2211.0;0.0;;
PSG;;;4087.0;0.0
Pro DM;;;;
CM;;;;
DSU;;;;
HP;901.0;0.0;;
HUMANWIRTSCHAFTS- PARTEI;;;;
STATT Partei;;;;
UNABHÄNGIGE;;;;
Übrige;2804.0;0.0;;
