Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;240439.0;38.0;211201.0;33.3
CDU;214489.0;33.9;191067.0;30.2
CSU;;;;
GRÜNE;18976.0;3.0;37489.0;5.9
FDP;22028.0;3.5;47188.0;7.4
Die Linke.;109509.0;17.3;117089.0;18.5
Offensive D;;;;
REP;;;;
NPD;10920.0;1.7;11459.0;1.8
Die Tierschutzpartei;;;;
GRAUE;;;4337.0;0.7
PBC;;;;
DIE FRAUEN;;;;
FAMILIE;15939.0;2.5;13002.0;2.1
BüSo;;;;
BP;;;;
ZENTRUM;;;;
Deutschland;;;;
AGFG;;;;
APPD;;;;
50Plus;;;;
MLPD;223.0;0.0;686.0;0.1
Die PARTEI;;;;
PSG;;;;
Pro DM;;;;
CM;;;;
DSU;;;;
HP;;;;
HUMANWIRTSCHAFTS- PARTEI;;;;
STATT Partei;;;;
UNABHÄNGIGE;;;;
Übrige;226.0;0.0;;
