Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;946310.0;39.9;822074.0;34.6
CDU;1024834.0;43.2;877632.0;36.9
CSU;;;;
GRÜNE;99769.0;4.2;172900.0;7.3
FDP;130808.0;5.5;278945.0;11.7
Die Linke.;111029.0;4.7;132154.0;5.6
Offensive D;;;;
REP;11553.0;0.5;26340.0;1.1
NPD;36481.0;1.5;31012.0;1.3
Die Tierschutzpartei;;;;
GRAUE;;;;
PBC;5853.0;0.2;9026.0;0.4
DIE FRAUEN;;;;
FAMILIE;;;25576.0;1.1
BüSo;;;;
BP;;;;
ZENTRUM;;;;
Deutschland;;;;
AGFG;;;;
APPD;;;;
50Plus;;;;
MLPD;437.0;0.0;1680.0;0.1
Die PARTEI;;;;
PSG;;;;
Pro DM;;;;
CM;;;;
DSU;;;;
HP;;;;
HUMANWIRTSCHAFTS- PARTEI;;;;
STATT Partei;;;;
UNABHÄNGIGE;;;;
Übrige;2788.0;0.1;;
