Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;1415806.0;42.2;1197762.0;35.6
CDU;1338785.0;39.9;1131496.0;33.7
CSU;;;;
GRÜNE;195060.0;5.8;340288.0;10.1
FDP;158793.0;4.7;392123.0;11.7
Die Linke.;142516.0;4.2;178913.0;5.3
Offensive D;;;;
REP;1858.0;0.1;27926.0;0.8
NPD;51499.0;1.5;41380.0;1.2
Die Tierschutzpartei;;;26786.0;0.8
GRAUE;;;15213.0;0.5
PBC;3573.0;0.1;;
DIE FRAUEN;;;;
FAMILIE;1857.0;0.1;;
BüSo;653.0;0.0;2958.0;0.1
BP;;;;
ZENTRUM;;;;
Deutschland;;;;
AGFG;;;;
APPD;;;;
50Plus;;;;
MLPD;839.0;0.0;1725.0;0.1
Die PARTEI;;;;
PSG;;;3346.0;0.1
Pro DM;;;;
CM;1011.0;0.0;;
DSU;;;;
HP;;;;
HUMANWIRTSCHAFTS- PARTEI;;;;
STATT Partei;;;;
UNABHÄNGIGE;1467.0;0.0;;
Übrige;43069.0;1.3;;
