Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;184817.0;51.1;155366.0;42.9
CDU;96120.0;26.6;82389.0;22.8
CSU;;;;
GRÜNE;35147.0;9.7;51600.0;14.3
FDP;13514.0;3.7;29329.0;8.1
Die Linke.;25658.0;7.1;30570.0;8.4
Offensive D;;;;
REP;;;;
NPD;5513.0;1.5;5341.0;1.5
Die Tierschutzpartei;;;;
GRAUE;;;3847.0;1.1
PBC;;;1083.0;0.3
DIE FRAUEN;;;1452.0;0.4
FAMILIE;;;;
BüSo;;;;
BP;;;;
ZENTRUM;;;;
Deutschland;;;;
AGFG;;;;
APPD;;;;
50Plus;;;;
MLPD;;;283.0;0.1
Die PARTEI;;;;
PSG;;;;
Pro DM;;;661.0;0.2
CM;;;;
DSU;;;;
HP;;;;
HUMANWIRTSCHAFTS- PARTEI;;;;
STATT Partei;;;;
UNABHÄNGIGE;;;;
Übrige;681.0;0.2;;
