Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;640617.0;29.4;520990.0;23.8
CDU;903528.0;41.4;767487.0;35.0
FDP;231938.0;10.6;364673.0;16.6
DIE LINKE;177323.0;8.1;205180.0;9.4
GRÜNE;174941.0;8.0;211971.0;9.7
CSU;;;;
NPD;34514.0;1.6;26077.0;1.2
REP;3631.0;0.2;18208.0;0.8
FAMILIE;3140.0;0.1;22279.0;1.0
Die Tierschutzpartei;;;;
PBC;;;5823.0;0.3
MLPD;210.0;0.0;650.0;0.0
BüSo;304.0;0.0;;
BP;;;;
PSG;;;;
Volksabstimmung;;;;
ZENTRUM;;;;
ADM;;;;
CM;;;;
DKP;;;;
DVU;;;1729.0;0.1
DIE VIOLETTEN;833.0;0.0;;
FWD;;;;
ödp;2384.0;0.1;6334.0;0.3
PIRATEN;3188.0;0.1;41728.0;1.9
RRP;;;;
RENTNER;;;;
Freie Union;;;;
Übrige;4009.0;0.2;;
