Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;1331177.0;20.1;1120018.0;16.8
CDU;;;;
FDP;700960.0;10.6;976379.0;14.7
DIE LINKE;386476.0;5.8;429371.0;6.5
GRÜNE;675888.0;10.2;719265.0;10.8
CSU;3191000.0;48.2;2830238.0;42.5
NPD;111662.0;1.7;87591.0;1.3
REP;13564.0;0.2;54588.0;0.8
FAMILIE;3921.0;0.1;44421.0;0.7
Die Tierschutzpartei;;;43215.0;0.6
PBC;921.0;0.0;9262.0;0.1
MLPD;540.0;0.0;1769.0;0.0
BüSo;5466.0;0.1;3305.0;0.0
BP;32324.0;0.5;48311.0;0.7
PSG;;;;
Volksabstimmung;;;;
ZENTRUM;;;;
ADM;;;;
CM;;;6826.0;0.1
DKP;;;;
DVU;;;3491.0;0.1
DIE VIOLETTEN;2064.0;0.0;13872.0;0.2
FWD;;;;
ödp;83568.0;1.3;75866.0;1.1
PIRATEN;24102.0;0.4;135790.0;2.0
RRP;22179.0;0.3;48458.0;0.7
RENTNER;;;;
Freie Union;5206.0;0.1;;
Übrige;34779.0;0.5;;
