Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;237189.0;19.8;202850.0;16.9
CDU;388171.0;32.3;362311.0;30.1
FDP;94139.0;7.8;124247.0;10.3
DIE LINKE;383800.0;32.0;389456.0;32.4
GRÜNE;55547.0;4.6;61734.0;5.1
CSU;;;;
NPD;30183.0;2.5;26584.0;2.2
REP;;;;
FAMILIE;;;;
Die Tierschutzpartei;;;;
PBC;;;;
MLPD;3039.0;0.3;3181.0;0.3
BüSo;;;;
BP;;;;
PSG;;;;
Volksabstimmung;;;;
ZENTRUM;;;;
ADM;;;;
CM;;;;
DKP;;;;
DVU;;;3529.0;0.3
DIE VIOLETTEN;;;;
FWD;;;;
ödp;;;;
PIRATEN;;;28780.0;2.4
RRP;;;;
RENTNER;;;;
Freie Union;;;;
Übrige;8709.0;0.7;;
