Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;161414.0;18.6;143607.0;16.6
CDU;301823.0;34.9;287481.0;33.1
FDP;61469.0;7.1;85203.0;9.8
DIE LINKE;255411.0;29.5;251536.0;29.0
GRÜNE;46826.0;5.4;47841.0;5.5
CSU;;;;
NPD;29801.0;3.4;28223.0;3.3
REP;;;1583.0;0.2
FAMILIE;;;;
Die Tierschutzpartei;;;;
PBC;;;;
MLPD;554.0;0.1;1730.0;0.2
BüSo;;;;
BP;;;;
PSG;;;;
Volksabstimmung;;;;
ZENTRUM;;;;
ADM;;;;
CM;;;;
DKP;;;;
DVU;;;;
DIE VIOLETTEN;;;;
FWD;;;;
ödp;523.0;0.1;;
PIRATEN;;;20063.0;2.3
RRP;;;;
RENTNER;;;;
Freie Union;;;;
Übrige;7888.0;0.9;;
