Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;255060.0;20.7;216593.0;17.6
CDU;407357.0;33.1;383778.0;31.2
FDP;94685.0;7.7;120635.0;9.8
DIE LINKE;357428.0;29.1;354875.0;28.8
GRÜNE;63030.0;5.1;73838.0;6.0
CSU;;;;
NPD;43588.0;3.5;39603.0;3.2
REP;;;4339.0;0.4
FAMILIE;;;;
Die Tierschutzpartei;;;;
PBC;;;;
MLPD;582.0;0.0;1991.0;0.2
BüSo;;;;
BP;;;;
PSG;;;;
Volksabstimmung;;;;
ZENTRUM;;;;
ADM;;;;
CM;;;;
DKP;;;;
DVU;;;;
DIE VIOLETTEN;;;;
FWD;;;;
ödp;1416.0;0.1;5086.0;0.4
PIRATEN;;;31031.0;2.5
RRP;;;;
RENTNER;;;;
Freie Union;;;;
Übrige;6698.0;0.5;;
