Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;3286593.0;35.1;2678956.0;28.5
CDU;3706284.0;39.6;3111478.0;33.1
FDP;832146.0;8.9;1394554.0;14.9
DIE LINKE;669045.0;7.1;789814.0;8.4
GRÜNE;728745.0;7.8;945831.0;10.1
CSU;;;;
NPD;112709.0;1.2;88690.0;0.9
REP;2768.0;0.0;30015.0;0.3
FAMILIE;5269.0;0.1;45106.0;0.5
Die Tierschutzpartei;2217.0;0.0;59731.0;0.6
PBC;;;;
MLPD;6636.0;0.1;4268.0;0.0
BüSo;2662.0;0.0;2396.0;0.0
BP;;;;
PSG;;;1537.0;0.0
Volksabstimmung;2550.0;0.0;9367.0;0.1
ZENTRUM;;;6087.0;0.1
ADM;;;;
CM;;;;
DKP;;;;
DVU;;;7358.0;0.1
DIE VIOLETTEN;446.0;0.0;;
FWD;;;;
ödp;2676.0;0.0;8866.0;0.1
PIRATEN;;;158585.0;1.7
RRP;;;12952.0;0.1
RENTNER;;;33821.0;0.4
Freie Union;;;;
Übrige;6019.0;0.1;;
