Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;296589.0;33.6;242942.0;27.4
CDU;288404.0;32.6;246667.0;27.8
FDP;69968.0;7.9;117143.0;13.2
DIE LINKE;86119.0;9.7;99096.0;11.2
GRÜNE;128440.0;14.5;138454.0;15.6
CSU;;;;
NPD;9181.0;1.0;7679.0;0.9
REP;;;;
FAMILIE;;;;
Die Tierschutzpartei;;;;
PBC;;;;
MLPD;158.0;0.0;445.0;0.1
BüSo;651.0;0.1;;
BP;;;;
PSG;;;;
Volksabstimmung;;;;
ZENTRUM;;;;
ADM;;;;
CM;;;;
DKP;;;;
DVU;;;1184.0;0.1
DIE VIOLETTEN;;;;
FWD;;;;
ödp;1899.0;0.2;2988.0;0.3
PIRATEN;;;23168.0;2.6
RRP;;;;
RENTNER;;;6572.0;0.7
Freie Union;;;;
Übrige;2249.0;0.3;;
