Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;121467.0;36.0;102419.0;30.2
CDU;92441.0;27.4;80964.0;23.9
FDP;24437.0;7.2;35968.0;10.6
DIE LINKE;42873.0;12.7;48369.0;14.3
GRÜNE;48549.0;14.4;52283.0;15.4
CSU;;;;
NPD;4626.0;1.4;3612.0;1.1
REP;;;577.0;0.2
FAMILIE;;;;
Die Tierschutzpartei;;;;
PBC;;;855.0;0.3
MLPD;343.0;0.1;216.0;0.1
BüSo;;;;
BP;;;;
PSG;;;;
Volksabstimmung;;;;
ZENTRUM;;;;
ADM;;;;
CM;;;;
DKP;;;;
DVU;;;1030.0;0.3
DIE VIOLETTEN;;;;
FWD;;;;
ödp;;;;
PIRATEN;;;8174.0;2.4
RRP;1563.0;0.5;4144.0;1.2
RENTNER;;;;
Freie Union;;;;
Übrige;1480.0;0.4;;
