Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;418045.0;24.3;348082.0;20.2
CDU;452542.0;26.3;393180.0;22.8
FDP;123780.0;7.2;198516.0;11.5
DIE LINKE;355640.0;20.7;348661.0;20.2
GRÜNE;298277.0;17.4;299535.0;17.4
CSU;;;;
NPD;34488.0;2.0;27799.0;1.6
REP;;;5921.0;0.3
FAMILIE;1416.0;0.1;;
Die Tierschutzpartei;;;23528.0;1.4
PBC;;;;
MLPD;901.0;0.1;1111.0;0.1
BüSo;10946.0;0.6;4709.0;0.3
BP;;;;
PSG;;;1420.0;0.1
Volksabstimmung;;;;
ZENTRUM;;;;
ADM;;;;
CM;;;;
DKP;929.0;0.1;1894.0;0.1
DVU;;;2275.0;0.1
DIE VIOLETTEN;875.0;0.1;5492.0;0.3
FWD;;;;
ödp;;;3220.0;0.2
PIRATEN;;;58062.0;3.4
RRP;;;;
RENTNER;;;;
Freie Union;;;;
Übrige;20920.0;1.2;;
