Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;397016.0;28.7;348216.0;25.1
CDU;342692.0;24.8;327454.0;23.6
FDP;99769.0;7.2;129642.0;9.3
DIE LINKE;410330.0;29.7;395566.0;28.5
GRÜNE;76546.0;5.5;84567.0;6.1
CSU;;;;
NPD;46792.0;3.4;35396.0;2.6
REP;;;3084.0;0.2
FAMILIE;;;;
Die Tierschutzpartei;;;;
PBC;;;;
MLPD;;;1621.0;0.1
BüSo;;;2889.0;0.2
BP;;;;
PSG;;;;
Volksabstimmung;;;;
ZENTRUM;;;;
ADM;;;;
CM;;;;
DKP;;;;
DVU;;;13042.0;0.9
DIE VIOLETTEN;;;;
FWD;;;11243.0;0.8
ödp;;;;
PIRATEN;;;34832.0;2.5
RRP;;;;
RENTNER;;;;
Freie Union;915.0;0.1;;
Übrige;7905.0;0.6;;
