Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;182340.0;31.3;144464.0;24.7
CDU;207864.0;35.7;179289.0;30.7
FDP;42107.0;7.2;69427.0;11.9
DIE LINKE;107088.0;18.4;123880.0;21.2
GRÜNE;30671.0;5.3;39550.0;6.8
CSU;;;;
NPD;8033.0;1.4;7399.0;1.3
REP;;;;
FAMILIE;4102.0;0.7;8912.0;1.5
Die Tierschutzpartei;;;;
PBC;;;;
MLPD;323.0;0.1;252.0;0.0
BüSo;;;;
BP;;;;
PSG;;;;
Volksabstimmung;;;;
ZENTRUM;;;;
ADM;;;;
CM;;;;
DKP;;;;
DVU;;;;
DIE VIOLETTEN;;;;
FWD;;;;
ödp;;;;
PIRATEN;;;8620.0;1.5
RRP;;;3074.0;0.5
RENTNER;;;;
Freie Union;;;;
Übrige;;;;
