Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;339102.0;15.1;328753.0;14.6
CDU;888018.0;39.5;800898.0;35.6
FDP;230005.0;10.2;299135.0;13.3
DIE LINKE;543805.0;24.2;551461.0;24.5
GRÜNE;136047.0;6.0;151283.0;6.7
CSU;;;;
NPD;91451.0;4.1;89611.0;4.0
REP;;;7148.0;0.3
FAMILIE;;;;
Die Tierschutzpartei;;;;
PBC;1290.0;0.1;;
MLPD;436.0;0.0;5281.0;0.2
BüSo;12382.0;0.6;18789.0;0.8
BP;;;;
PSG;;;;
Volksabstimmung;;;;
ZENTRUM;;;;
ADM;;;;
CM;;;;
DKP;;;;
DVU;;;;
DIE VIOLETTEN;;;;
FWD;;;;
ödp;;;;
PIRATEN;;;;
RRP;;;;
RENTNER;;;;
Freie Union;;;;
Übrige;7142.0;0.3;;
