Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;1581443.0;35.8;1297940.0;29.3
CDU;1703363.0;38.5;1471530.0;33.2
FDP;350420.0;7.9;588401.0;13.3
DIE LINKE;331141.0;7.5;380373.0;8.6
GRÜNE;370188.0;8.4;475742.0;10.7
CSU;;;;
NPD;60811.0;1.4;53909.0;1.2
REP;;;;
FAMILIE;;;;
Die Tierschutzpartei;;;34658.0;0.8
PBC;1253.0;0.0;;
MLPD;294.0;0.0;1353.0;0.0
BüSo;307.0;0.0;;
BP;;;;
PSG;;;;
Volksabstimmung;;;;
ZENTRUM;;;;
ADM;;;;
CM;;;;
DKP;;;;
DVU;;;4318.0;0.1
DIE VIOLETTEN;;;;
FWD;;;;
ödp;;;5364.0;0.1
PIRATEN;4214.0;0.1;87046.0;2.0
RRP;14204.0;0.3;31977.0;0.7
RENTNER;;;;
Freie Union;;;;
Übrige;5265.0;0.1;;
