Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;519995.0;32.4;430739.0;26.8
CDU;615798.0;38.4;518457.0;32.2
FDP;170070.0;10.6;261767.0;16.3
DIE LINKE;113319.0;7.1;127203.0;7.9
GRÜNE;161626.0;10.1;203782.0;12.7
CSU;;;;
NPD;17139.0;1.1;15848.0;1.0
REP;;;;
FAMILIE;;;;
Die Tierschutzpartei;;;;
PBC;;;;
MLPD;;;616.0;0.0
BüSo;;;;
BP;;;;
PSG;;;;
Volksabstimmung;;;;
ZENTRUM;369.0;0.0;;
ADM;;;;
CM;;;;
DKP;;;;
DVU;;;1807.0;0.1
DIE VIOLETTEN;553.0;0.0;;
FWD;;;;
ödp;;;;
PIRATEN;;;33277.0;2.1
RRP;;;;
RENTNER;;;16006.0;1.0
Freie Union;;;;
Übrige;6021.0;0.4;;
