Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;9577659;34.8;10016594;36.4
SPD;8131257;29.5;7944943;28.8
FDP;2967566;10.8;2629163;9.5
CSU;2450286;8.9;2427387;8.8
GB/BHE;1613215;5.9;1616953;5.9
DP;1073031;3.9;896128;3.3
KPD;611317;2.2;607860;2.2
BP;399070;1.5;465641;1.7
GVP;286465;1.0;318475;1.2
DRP;204725;0.7;295739;1.1
Zentrum;55835;0.2;217078;0.8
DNS;78356;0.3;70726;0.3
SSW;44339;0.2;44585;0.2
SHLP;6269;0.0;2531;0.0
PdgD;654;0.0;17185;0.1
