Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;1505495;43.9;1422262;41.3
CSU;0;0.0;0;0.0
SPD;1391642;40.6;1308151;38.0
FDP;232509;6.8;374240;10.9
GRÜNE;197897;5.8;192110;5.6
PDS;0;0.0;13037;0.4
DSU;0;0.0;0;0.0
B90/Gr;0;0.0;0;0.0
BP;0;0.0;0;0.0
DDD;0;0.0;0;0.0
BSA;0;0.0;0;0.0
LIGA;0;0.0;0;0.0
CM;965;0.0;0;0.0
ÖKO-Union;0;0.0;0;0.0
DIE GRAUEN;16437;0.5;30459;0.9
Mündige;0;0.0;0;0.0
REP;43924;1.3;71628;2.1
Frauen;0;0.0;0;0.0
KPD;0;0.0;0;0.0
NPD;29106;0.8;19082;0.6
ÖDP;11504;0.3;12036;0.3
Patrioten;30;0.0;0;0.0
SpAD;0;0.0;0;0.0
VAA;136;0.0;0;0.0
EFP;0;0.0;0;0.0
