Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;275887;38.9;271310;38.1
CSU;0;0.0;0;0.0
SPD;366060;51.7;363933;51.2
FDP;34273;4.8;42459;6.0
GRÜNE;19192;2.7;16118;2.3
PDS;0;0.0;1164;0.2
DSU;0;0.0;0;0.0
B90/Gr;0;0.0;0;0.0
BP;0;0.0;0;0.0
DDD;0;0.0;0;0.0
BSA;0;0.0;0;0.0
LIGA;0;0.0;0;0.0
CM;0;0.0;978;0.1
ÖKO-Union;0;0.0;0;0.0
DIE GRAUEN;5800;0.8;5215;0.7
Mündige;0;0.0;0;0.0
REP;0;0.0;6248;0.9
Frauen;0;0.0;0;0.0
KPD;0;0.0;0;0.0
NPD;4598;0.6;2130;0.3
ÖDP;2702;0.4;1643;0.2
Patrioten;0;0.0;0;0.0
SpAD;0;0.0;0;0.0
VAA;0;0.0;0;0.0
EFP;0;0.0;0;0.0
