Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;691750;45.9;684743;45.2
CSU;0;0.0;0;0.0
SPD;335329;22.2;332377;21.9
FDP;195909;13.0;221621;14.6
GRÜNE;0;0.0;0;0.0
PDS;133003;8.8;125154;8.3
DSU;32115;2.1;20023;1.3
B90/Gr;102834;6.8;92567;6.1
BP;0;0.0;0;0.0
DDD;0;0.0;0;0.0
BSA;0;0.0;0;0.0
LIGA;0;0.0;2322;0.2
CM;0;0.0;0;0.0
ÖKO-Union;0;0.0;0;0.0
DIE GRAUEN;6089;0.4;10541;0.7
Mündige;0;0.0;0;0.0
REP;2967;0.2;17969;1.2
Frauen;0;0.0;0;0.0
KPD;0;0.0;0;0.0
NPD;6877;0.5;3973;0.3
ÖDP;0;0.0;2651;0.2
Patrioten;0;0.0;331;0.0
SpAD;0;0.0;0;0.0
VAA;0;0.0;0;0.0
EFP;0;0.0;311;0.0
