Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;805578;40.5;792514;39.4
CSU;0;0.0;0;0.0
SPD;657066;33.1;616320;30.6
FDP;152005;7.6;183780;9.1
GRÜNE;82907;4.2;79192;3.9
PDS;198786;10.0;195613;9.7
DSU;4979;0.3;4467;0.2
B90/Gr;10022;0.5;66294;3.3
BP;0;0.0;0;0.0
DDD;474;0.0;1009;0.1
BSA;0;0.0;161;0.0
LIGA;0;0.0;0;0.0
CM;0;0.0;0;0.0
ÖKO-Union;0;0.0;0;0.0
DIE GRAUEN;19430;1.0;16882;0.8
Mündige;72;0.0;0;0.0
REP;50360;2.5;49408;2.5
Frauen;0;0.0;0;0.0
KPD;0;0.0;410;0.0
NPD;2451;0.1;2170;0.1
ÖDP;3911;0.2;3668;0.2
Patrioten;0;0.0;109;0.0
SpAD;0;0.0;200;0.0
VAA;0;0.0;480;0.0
EFP;0;0.0;16;0.0
