Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;2667311;49.2;2529051;46.5
CSU;0;0.0;0;0.0
SPD;1644692;30.3;1582957;29.1
FDP;432526;8.0;667272;12.3
GRÜNE;368855;6.8;311680;5.7
PDS;0;0.0;13778;0.3
DSU;0;0.0;0;0.0
B90/Gr;0;0.0;0;0.0
BP;0;0.0;0;0.0
DDD;0;0.0;0;0.0
BSA;0;0.0;0;0.0
LIGA;721;0.0;14996;0.3
CM;644;0.0;8170;0.2
ÖKO-Union;0;0.0;0;0.0
DIE GRAUEN;15081;0.3;53901;1.0
Mündige;0;0.0;0;0.0
REP;163521;3.0;174272;3.2
Frauen;0;0.0;0;0.0
KPD;0;0.0;0;0.0
NPD;37048;0.7;31738;0.6
ÖDP;67061;1.2;49915;0.9
Patrioten;0;0.0;1622;0.0
SpAD;0;0.0;0;0.0
VAA;66;0.0;0;0.0
EFP;266;0.0;22930;0.4
