Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;428255;43.5;410940;41.2
CSU;0;0.0;0;0.0
SPD;303850;30.8;264715;26.5
FDP;100141;10.2;91229;9.1
GRÜNE;0;0.0;0;0.0
PDS;138877;14.1;141906;14.2
DSU;0;0.0;3003;0.3
B90/Gr;6703;0.7;58792;5.9
BP;0;0.0;0;0.0
DDD;0;0.0;0;0.0
BSA;0;0.0;0;0.0
LIGA;0;0.0;0;0.0
CM;0;0.0;0;0.0
ÖKO-Union;0;0.0;0;0.0
DIE GRAUEN;0;0.0;7269;0.7
Mündige;0;0.0;0;0.0
REP;0;0.0;14146;1.4
Frauen;0;0.0;0;0.0
KPD;0;0.0;0;0.0
NPD;7461;0.8;3164;0.3
ÖDP;0;0.0;1572;0.2
Patrioten;0;0.0;0;0.0
SpAD;0;0.0;385;0.0
VAA;0;0.0;0;0.0
EFP;0;0.0;0;0.0
