Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;2123178;46.2;2039668;44.3
CSU;0;0.0;0;0.0
SPD;1871561;40.7;1765928;38.4
FDP;294495;6.4;474609;10.3
GRÜNE;222755;4.8;205449;4.5
PDS;0;0.0;14654;0.3
DSU;0;0.0;0;0.0
B90/Gr;0;0.0;0;0.0
BP;0;0.0;0;0.0
DDD;0;0.0;0;0.0
BSA;0;0.0;0;0.0
LIGA;0;0.0;0;0.0
CM;1464;0.0;4520;0.1
ÖKO-Union;1106;0.0;4661;0.1
DIE GRAUEN;18240;0.4;28401;0.6
Mündige;0;0.0;0;0.0
REP;34483;0.8;46934;1.0
Frauen;405;0.0;0;0.0
KPD;0;0.0;0;0.0
NPD;17659;0.4;12747;0.3
ÖDP;4653;0.1;5814;0.1
Patrioten;0;0.0;0;0.0
SpAD;0;0.0;0;0.0
VAA;0;0.0;0;0.0
EFP;0;0.0;3539;0.1
