Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;624431;39.4;613515;38.6
CSU;0;0.0;0;0.0
SPD;399221;25.2;393396;24.7
FDP;279316;17.6;314265;19.7
GRÜNE;0;0.0;0;0.0
PDS;158333;10.0;149053;9.4
DSU;15053;0.9;7138;0.4
B90/Gr;105157;6.6;83976;5.3
BP;0;0.0;0;0.0
DDD;0;0.0;0;0.0
BSA;0;0.0;0;0.0
LIGA;0;0.0;0;0.0
CM;0;0.0;0;0.0
ÖKO-Union;0;0.0;0;0.0
DIE GRAUEN;3303;0.2;9431;0.6
Mündige;0;0.0;0;0.0
REP;0;0.0;15197;1.0
Frauen;0;0.0;0;0.0
KPD;0;0.0;0;0.0
NPD;0;0.0;2704;0.2
ÖDP;0;0.0;2179;0.1
Patrioten;0;0.0;0;0.0
SpAD;0;0.0;532;0.0
VAA;0;0.0;0;0.0
EFP;0;0.0;935;0.1
