Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;746880;46.1;705983;43.5
CSU;0;0.0;0;0.0
SPD;668086;41.2;626008;38.5
FDP;110460;6.8;185636;11.4
GRÜNE;66062;4.1;65054;4.0
PDS;0;0.0;5496;0.3
DSU;0;0.0;0;0.0
B90/Gr;0;0.0;0;0.0
BP;0;0.0;0;0.0
DDD;0;0.0;0;0.0
BSA;0;0.0;0;0.0
LIGA;0;0.0;0;0.0
CM;163;0.0;0;0.0
ÖKO-Union;0;0.0;0;0.0
DIE GRAUEN;3037;0.2;10162;0.6
Mündige;0;0.0;0;0.0
REP;19022;1.2;18823;1.2
Frauen;0;0.0;0;0.0
KPD;0;0.0;0;0.0
NPD;4506;0.3;4206;0.3
ÖDP;2750;0.2;3308;0.2
Patrioten;0;0.0;0;0.0
SpAD;0;0.0;0;0.0
VAA;0;0.0;0;0.0
EFP;0;0.0;467;0.0
