Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;17707574;38.3;17055116;36.7
CSU;3423904;7.4;3302980;7.1
SPD;16279980;35.2;15545366;33.5
FDP;3595135;7.8;5123233;11.0
GRÜNE;2037885;4.4;1788200;3.8
PDS;1049245;2.3;1129578;2.4
DSU;131747;0.3;89008;0.2
B90/Gr;552027;1.2;559207;1.2
BP;10836;0.0;31315;0.1
DDD;474;0.0;1009;0.0
BSA;214;0.0;826;0.0
LIGA;8667;0.0;39640;0.1
CM;9824;0.0;36446;0.1
ÖKO-Union;1106;0.0;4661;0.0
DIE GRAUEN;218412;0.5;385910;0.8
Mündige;72;0.0;492;0.0
REP;767652;1.7;987269;2.1
Frauen;1433;0.0;12077;0.0
KPD;0;0.0;1630;0.0
NPD;190105;0.4;145776;0.3
ÖDP;243469;0.5;205206;0.4
Patrioten;746;0.0;4687;0.0
SpAD;124;0.0;1610;0.0
VAA;704;0.0;4530;0.0
EFP;266;0.0;43324;0.1
