Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
S P D;2096722;30.2;2014399;28.9
C D U;0;0.0;0;0.0
C S U;4318800;62.2;4140865;59.5
F.D.P.;212568;3.1;433652;6.2
GRUENE;274522;4.0;323901;4.7
B W K;171;0.0;688;0.0
C.B.V.;2068;0.0;10994;0.2
D K P;11893;0.2;7332;0.1
E A P;1043;0.0;1923;0.0
K P D;0;0.0;0;0.0
N P D;19569;0.3;20109;0.3
OE D P;3341;0.0;11028;0.2
U S D;0;0.0;0;0.0
