Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
S P D;1603317;44.1;1513449;41.6
C D U;1752746;48.3;1614641;44.3
C S U;0;0.0;0;0.0
F.D.P.;98054;2.7;275787;7.6
GRUENE;160943;4.4;218898;6.0
B W K;0;0.0;0;0.0
C.B.V.;0;0.0;0;0.0
D K P;9971;0.3;7609;0.2
E A P;1968;0.1;2124;0.1
K P D;0;0.0;0;0.0
N P D;5408;0.1;9001;0.2
OE D P;0;0.0;0;0.0
U S D;0;0.0;0;0.0
