Party;Erststimmen (total);Erststimmen (%)
CDU;454437.0;21.4
FDP;597081.0;28.1
CSU;0.0;0.0
KPD;142539.0;6.7
Parteilose;250179.0;11.8
BP;0.0;0.0
DP;0.0;0.0
Zentrum;0.0;0.0
WAV;0.0;0.0
DKP/DRP;0.0;0.0
RSF;0.0;0.0
SSW;0.0;0.0
EVD;0.0;0.0
RWVP;0.0;0.0
