Party;Erststimmen (total);Erststimmen (%)
CDU;51290.0;16.9
FDP;39228.0;12.9
CSU;0.0;0.0
KPD;20530.0;6.8
Parteilose;27293.0;9.0
BP;0.0;0.0
DP;54569.0;18.0
Zentrum;0.0;0.0
WAV;0.0;0.0
DKP/DRP;0.0;0.0
RSF;6446.0;2.1
SSW;0.0;0.0
EVD;0.0;0.0
RWVP;0.0;0.0
