Party;Erststimmen (total);Erststimmen (%)
CDU;1087828.0;39.6
FDP;482381.0;17.6
CSU;0.0;0.0
KPD;175911.0;6.4
Parteilose;315237.0;11.5
BP;0.0;0.0
DP;0.0;0.0
Zentrum;0.0;0.0
WAV;0.0;0.0
DKP/DRP;0.0;0.0
RSF;2428.0;0.1
SSW;0.0;0.0
EVD;26162.0;1.0
RWVP;0.0;0.0
