Party;Erststimmen (total);Erststimmen (%)
CDU;702125.0;49.0
FDP;226625.0;15.8
CSU;0.0;0.0
KPD;89026.0;6.2
Parteilose;4875.0;0.3
BP;0.0;0.0
DP;0.0;0.0
Zentrum;0.0;0.0
WAV;0.0;0.0
DKP/DRP;0.0;0.0
RSF;0.0;0.0
SSW;0.0;0.0
EVD;0.0;0.0
RWVP;0.0;0.0
