Party;Erststimmen (total);Erststimmen (%)
CDU;2481523.0;36.9
FDP;581456.0;8.6
CSU;0.0;0.0
KPD;513225.0;7.6
Parteilose;157155.0;2.3
BP;0.0;0.0
DP;0.0;0.0
Zentrum;601435.0;8.9
WAV;0.0;0.0
DKP/DRP;117998.0;1.8
RSF;142648.0;2.1
SSW;0.0;0.0
EVD;0.0;0.0
RWVP;21931.0;0.3
