Party;Erststimmen (total);Erststimmen (%)
CDU;428956.0;30.7
FDP;103492.0;7.4
CSU;0.0;0.0
KPD;43744.0;3.1
Parteilose;105800.0;7.6
BP;0.0;0.0
DP;169240.0;12.1
Zentrum;12606.0;0.9
WAV;0.0;0.0
DKP/DRP;27066.0;1.9
RSF;18122.0;1.3
SSW;75388.0;5.4
EVD;0.0;0.0
RWVP;0.0;0.0
