Party;Erststimmen (total);Erststimmen (%)
CDU;593691.0;17.6
FDP;252141.0;7.5
CSU;0.0;0.0
KPD;104132.0;3.1
Parteilose;273296.0;8.1
BP;0.0;0.0
DP;597542.0;17.8
Zentrum;113464.0;3.4
WAV;0.0;0.0
DKP/DRP;273129.0;8.1
RSF;33275.0;1.0
SSW;0.0;0.0
EVD;0.0;0.0
RWVP;0.0;0.0
