Party;Erststimmen (total);Erststimmen (%)
CDU;0.0;0.0
FDP;404145.0;8.5
CSU;1380448.0;29.2
KPD;195852.0;4.1
Parteilose;3396.0;0.1
BP;986478.0;20.9
DP;0.0;0.0
Zentrum;0.0;0.0
WAV;681888.0;14.4
DKP/DRP;0.0;0.0
RSF;0.0;0.0
SSW;0.0;0.0
EVD;0.0;0.0
RWVP;0.0;0.0
