Party;Erststimmen (total);Erststimmen (%)
CDU;178786.0;19.7
FDP;143371.0;15.8
CSU;0.0;0.0
KPD;76747.0;8.5
Parteilose;4416.0;0.5
BP;0.0;0.0
DP;118583.0;13.1
Zentrum;0.0;0.0
WAV;0.0;0.0
DKP/DRP;10838.0;1.2
RSF;13830.0;1.5
SSW;0.0;0.0
EVD;0.0;0.0
RWVP;0.0;0.0
