Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;2296061;38.7;2118439;35.6
CDU;2558596;43.1;2245873;37.8
CSU;0;0.0;0;0.0
GRÜNE;426398;7.2;549567;9.2
F.D.P.;261026;4.4;524527;8.8
PDS;36075;0.6;58013;1.0
Deutschland;712;0.0;0;0.0
APPD;336;0.0;5882;0.1
APD;0;0.0;0;0.0
BP;0;0.0;0;0.0
BüSo;0;0.0;1426;0.0
BFB;5243;0.1;8304;0.1
CHANCE 2000;0;0.0;0;0.0
CM;2614;0.0;8055;0.1
DPD;1172;0.0;2432;0.0
DVU;33299;0.6;12866;0.2
GRAUE.1;16139;0.3;244460;4.1
REP.1;240402;4.1;1002;0.0
FAMILIE.1;0;0.0;0;0.0
DIE FRAUEN.1;5575;0.1;0;0.0
HP.1;0;0.0;42469;0.7
MLPD;1536;0.0;1563;0.0
Tierschutz;0;0.0;22244;0.4
NPD;1892;0.0;8936;0.2
NATURGESETZ;6809;0.1;6278;0.1
FORUM;0;0.0;0;0.0
ödp;35131;0.6;21146;0.4
PBC;21876;0.4;23589;0.4
AB 2000;0;0.0;0;0.0
Nichtwähler;0;0.0;0;0.0
PASS.1;0;0.0;1206;0.0
DKP;452;0.0;0;0.0
ZENTRUM;0;0.0;616;0.0
FP Deutschl.;131;0.0;0;0.0
STATT Partei;0;0.0;15777;0.3
