Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;21535893;43.8;20181269;40.9
CDU;15854215;32.2;14004908;28.4
CSU;3602472;7.3;3324480;6.7
GRÜNE;2448162;5.0;3301624;6.7
F.D.P.;1486433;3.0;3080955;6.2
PDS;2416781;4.9;2515454;5.1
Deutschland;1946;0.0;6196;0.0
APPD;1676;0.0;35242;0.1
APD;1458;0.0;6759;0.0
BP;1772;0.0;28107;0.1
BüSo;10260;0.0;9662;0.0
BFB;134795;0.3;121196;0.2
CHANCE 2000;3206;0.0;28566;0.1
CM;9023;0.0;23619;0.0
DPD;1172;0.0;2432;0.0
DVU;601192;1.2;141763;0.3
GRAUE.1;152557;0.3;1115664;2.3
REP.1;906383;1.8;8134;0.0
FAMILIE.1;24825;0.1;3966;0.0
DIE FRAUEN.1;30094;0.1;532;0.0
HP.1;435;0.0;430099;0.9
MLPD;7208;0.0;4731;0.0
Tierschutz;1734;0.0;133832;0.3
NPD;45043;0.1;126571;0.3
NATURGESETZ;35132;0.1;30619;0.1
FORUM;6296;0.0;4543;0.0
ödp;145308;0.3;98257;0.2
PBC;46379;0.1;71941;0.1
AB 2000;4097;0.0;3355;0.0
Nichtwähler;6827;0.0;10449;0.0
PASS.1;5556;0.0;6226;0.0
DKP;2105;0.0;8180;0.0
ZENTRUM;2076;0.0;1924;0.0
FP Deutschl.;131;0.0;763;0.0
STATT Partei;4406;0.0;66026;0.1
