Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;5447132;50.2;5097425;46.9
CDU;4210718;38.8;3669024;33.8
CSU;0;0.0;0;0.0
GRÜNE;546021;5.0;745911;6.9
F.D.P.;310354;2.9;789745;7.3
PDS;81199;0.7;131550;1.2
Deutschland;1042;0.0;6196;0.1
APPD;0;0.0;8719;0.1
APD;0;0.0;0;0.0
BP;0;0.0;0;0.0
BüSo;1841;0.0;1941;0.0
BFB;7032;0.1;9626;0.1
CHANCE 2000;0;0.0;6028;0.1
CM;2093;0.0;5544;0.1
DPD;0;0.0;0;0.0
DVU;98732;0.9;43292;0.4
GRAUE.1;34169;0.3;158578;1.5
REP.1;113608;1.0;2293;0.0
FAMILIE.1;21079;0.2;805;0.0
DIE FRAUEN.1;4829;0.0;361;0.0
HP.1;0;0.0;54322;0.5
MLPD;3226;0.0;2052;0.0
Tierschutz;0;0.0;27320;0.3
NPD;2101;0.0;12316;0.1
NATURGESETZ;6309;0.1;5099;0.0
FORUM;0;0.0;0;0.0
ödp;7878;0.1;6644;0.1
PBC;1549;0.0;9715;0.1
AB 2000;0;0.0;0;0.0
Nichtwähler;6827;0.1;0;0.0
PASS.1;0;0.0;1114;0.0
DKP;175;0.0;0;0.0
ZENTRUM;1456;0.0;1308;0.0
FP Deutschl.;0;0.0;0;0.0
STATT Partei;447;0.0;7285;0.1
