Merkmal;Bundestagswahl am 23.02.2025 in NRW;;;;Zum Vergleich:;;;;Differenz der Zweitstimme in %-Punkten
;;;;;Bundestagswahl am 26.09.2021 in NRW;;;;
;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;
;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%;%;
Wahlberechtigte ohne Sperrvermerk "W";8793678;+68,3;8793678;+68,3;7986336;+61,2;7986336;+61,2;X
Wahlberechtigte mit Sperrvermerk "W";4090445;+31,7;4090445;+31,7;5053898;+38,8;5053898;+38,8;X
Wahlberechtigte mit selbst. Wahlschein;86;0;86;0;33;0;33;0;X
Wahlberechtigte insgesamt;12884209;+100,0;12884209;+100,0;13040267;+100,0;13040267;+100,0;X
Wähler/-innen;10587740;+82,2;10587740;+82,2;9960984;+76,4;9960984;+76,4;X
darunter mit Wahlschein;3868952;+36,5;3868952;+36,5;4828212;+48,5;4828212;+48,5;X
Ungültige Stimmen;97311;+0,9;61606;+0,6;92465;+0,9;72954;+0,7;X
Gültige Stimmen;10490429;+100,0;10526134;+100,0;9868519;+100,0;9888030;+100,0;X
SPD;2633792;+25,1;2108434;+20,0;3068628;+31,1;2880226;+29,1;-9,1;
CDU;3566853;+34,0;3170627;+30,1;2973458;+30,1;2566719;+26,0;+4,2;
GRÜNE;1230253;+11,7;1300901;+12,4;1500696;+15,2;1587067;+16,1;-3,7;
FDP;349157;+3,3;462446;+4,4;851337;+8,6;1130154;+11,4;-7,0;
AfD;1720896;+16,4;1770379;+16,8;705020;+7,1;717510;+7,3;+9,6;
Die Linke;714177;+6,8;877123;+8,3;317869;+3,2;366947;+3,7;+4,6;
Tierschutzpartei;–;–;133480;+1,3;11068;+0,1;136195;+1,4;-0,1;
Die PARTEI;33497;+0,3;59077;+0,6;170191;+1,7;108504;+1,1;-0,5;
dieBasis;–;–;22219;+0,2;111606;+1,1;99217;+1,0;-0,8;
Team Todenhöfer;5089;0;20021;+0,2;–;–;65137;+0,7;-0,5;
FREIE WÄHLER;113892;+1,1;52891;+0,5;97782;+1,0;64990;+0,7;-0,2;
Volt;79713;+0,8;68915;+0,7;24138;+0,2;36039;+0,4;+0,3;
MLPD;7435;+0,1;4045;0;5894;+0,1;3476;0;0;
PdF;1282;0;17965;+0,2;–;–;3228;0;+0,1;
BÜNDNIS DEUTSCHLAND;16093;+0,2;13669;+0,1;–;–;–;–;X
BSW;6515;+0,1;432911;+4,1;–;–;–;–;X
MERA25;–;–;4295;0;–;–;–;–;X
WerteUnion;2849;0;6736;+0,1;–;–;–;–;X
Einzelbewerber/-innen;8936;+0,1;–;–;14134;+0,1;–;–;X
Sonstige;–;–;–;–;16698;+0,2;122621;+1,2;X
X = Tabellenfach gesperrt, da Aussage nicht sinnvoll.
