Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;2873905.0;51.1;2576606.0;45.7
SPD;1332623.0;23.7;1160424.0;20.6
FDP;164210.0;2.9;348317.0;6.2
DIE LINKE;236251.0;4.2;272456.0;4.8
GRÜNE;614298.0;10.9;623294.0;11.0
CSU;;;;
PIRATEN;113966.0;2.0;130767.0;2.3
NPD;66608.0;1.2;56302.0;1.0
Tierschutzpartei;;;43277.0;0.8
REP;8245.0;0.1;21847.0;0.4
ÖDP;30607.0;0.5;23704.0;0.4
FAMILIE;;;;
Bündnis 21/RRP;;;;
RENTNER;;;14472.0;0.3
BP;;;;
PBC;;;12878.0;0.2
BüSo;282.0;0.0;1042.0;0.0
DIE VIOLETTEN;972.0;0.0;;
MLPD;2099.0;0.0;2941.0;0.1
Volksabstimmung;;;11032.0;0.2
PSG;;;;
AfD;133727.0;2.4;295988.0;5.2
BIG;;;3529.0;0.1
pro Deutschland;;;4595.0;0.1
DIE RECHTE;;;;
DIE FRAUEN;;;;
FREIE WÄHLER;36305.0;0.6;33479.0;0.6
Nichtwähler;;;;
PARTEI DER VERNUNFT;;;5069.0;0.1
Die PARTEI;1677.0;0.0;;
B;;;;
BGD;;;;
DKP;231.0;0.0;;
Übrige;11405.0;0.2;;
