Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;1026360.0;46.6;958655.0;43.3
SPD;716029.0;32.5;608910.0;27.5
FDP;63585.0;2.9;122640.0;5.5
DIE LINKE;105928.0;4.8;120338.0;5.4
GRÜNE;133256.0;6.1;169372.0;7.6
CSU;;;;
PIRATEN;55870.0;2.5;49664.0;2.2
NPD;25853.0;1.2;23980.0;1.1
Tierschutzpartei;;;;
REP;5973.0;0.3;8545.0;0.4
ÖDP;6091.0;0.3;6588.0;0.3
FAMILIE;2995.0;0.1;;
Bündnis 21/RRP;;;;
RENTNER;;;;
BP;;;;
PBC;;;;
BüSo;286.0;0.0;;
DIE VIOLETTEN;;;;
MLPD;281.0;0.0;859.0;0.0
Volksabstimmung;;;;
PSG;;;;
AfD;6316.0;0.3;106414.0;4.8
BIG;;;;
pro Deutschland;;;4451.0;0.2
DIE RECHTE;;;;
DIE FRAUEN;;;;
FREIE WÄHLER;48110.0;2.2;28159.0;1.3
Nichtwähler;;;;
PARTEI DER VERNUNFT;2484.0;0.1;5922.0;0.3
Die PARTEI;952.0;0.0;;
B;;;;
BGD;;;;
DKP;;;;
Übrige;895.0;0.0;;
