Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;234133.0;41.7;212368.0;37.8
SPD;199723.0;35.5;174592.0;31.0
FDP;8393.0;1.5;21506.0;3.8
DIE LINKE;48977.0;8.7;56045.0;10.0
GRÜNE;21746.0;3.9;31998.0;5.7
CSU;;;;
PIRATEN;13880.0;2.5;14693.0;2.6
NPD;9231.0;1.6;9691.0;1.7
Tierschutzpartei;;;;
REP;;;;
ÖDP;;;;
FAMILIE;;;7449.0;1.3
Bündnis 21/RRP;;;;
RENTNER;;;;
BP;;;;
PBC;;;;
BüSo;;;;
DIE VIOLETTEN;;;;
MLPD;267.0;0.0;361.0;0.1
Volksabstimmung;;;;
PSG;;;;
AfD;24912.0;4.4;29291.0;5.2
BIG;;;;
pro Deutschland;;;902.0;0.2
DIE RECHTE;;;;
DIE FRAUEN;;;;
FREIE WÄHLER;;;3664.0;0.7
Nichtwähler;;;;
PARTEI DER VERNUNFT;687.0;0.1;;
Die PARTEI;;;;
B;;;;
BGD;;;;
DKP;;;;
Übrige;;;;
