Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;;;;
SPD;1443710.0;22.0;1314009.0;20.0
FDP;183259.0;2.8;334158.0;5.1
DIE LINKE;225218.0;3.4;248920.0;3.8
GRÜNE;505800.0;7.7;552818.0;8.4
Christlich-Soziale Union in Bayern e.V.;3544079.0;53.9;3243569.0;49.3
PIRATEN;131872.0;2.0;127934.0;1.9
NPD;59721.0;0.9;56737.0;0.9
Tierschutzpartei;;;46937.0;0.7
REP;8235.0;0.1;27457.0;0.4
ÖDP;84583.0;1.3;68365.0;1.0
FAMILIE;;;;
Bündnis 21/RRP;2747.0;0.0;3032.0;0.0
RENTNER;;;;
BP;28430.0;0.4;57395.0;0.9
PBC;;;;
BüSo;1519.0;0.0;1375.0;0.0
DIE VIOLETTEN;1087.0;0.0;8211.0;0.1
MLPD;448.0;0.0;1757.0;0.0
Volksabstimmung;;;;
PSG;;;;
AfD;146714.0;2.2;283570.0;4.3
BIG;;;;
pro Deutschland;735.0;0.0;4874.0;0.1
DIE RECHTE;;;;
DIE FRAUEN;;;12148.0;0.2
FREIE WÄHLER;192702.0;2.9;180649.0;2.7
Nichtwähler;;;;
PARTEI DER VERNUNFT;339.0;0.0;6840.0;0.1
Die PARTEI;2260.0;0.0;;
B;;;;
BGD;;;;
DKP;;;;
Übrige;7555.0;0.1;;
