Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;305979.0;34.4;285927.0;32.1
SPD;336337.0;37.8;288902.0;32.4
FDP;17707.0;2.0;42869.0;4.8
DIE LINKE;66995.0;7.5;78296.0;8.8
GRÜNE;94473.0;10.6;112826.0;12.7
CSU;;;;
PIRATEN;22175.0;2.5;24505.0;2.8
NPD;5738.0;0.6;5658.0;0.6
Tierschutzpartei;;;;
REP;;;;
ÖDP;637.0;0.1;1963.0;0.2
FAMILIE;;;;
Bündnis 21/RRP;;;;
RENTNER;;;3819.0;0.4
BP;;;;
PBC;;;;
BüSo;;;;
DIE VIOLETTEN;;;;
MLPD;135.0;0.0;423.0;0.0
Volksabstimmung;;;;
PSG;;;;
AfD;29835.0;3.4;37142.0;4.2
BIG;;;;
pro Deutschland;;;;
DIE RECHTE;;;;
DIE FRAUEN;;;;
FREIE WÄHLER;3725.0;0.4;2856.0;0.3
Nichtwähler;;;;
PARTEI DER VERNUNFT;;;;
Die PARTEI;3097.0;0.3;5643.0;0.6
B;;;;
BGD;;;;
DKP;;;;
Übrige;3120.0;0.4;;
