Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;1080087.0;46.5;994601.0;42.6
SPD;375941.0;16.2;340819.0;14.6
FDP;55673.0;2.4;71259.0;3.1
DIE LINKE;500300.0;21.5;467045.0;20.0
GRÜNE;103470.0;4.5;113916.0;4.9
CSU;;;;
PIRATEN;57250.0;2.5;58561.0;2.5
NPD;99553.0;4.3;76436.0;3.3
Tierschutzpartei;;;;
REP;;;;
ÖDP;;;;
FAMILIE;;;;
Bündnis 21/RRP;;;;
RENTNER;;;;
BP;;;;
PBC;;;;
BüSo;11274.0;0.5;5076.0;0.2
DIE VIOLETTEN;;;;
MLPD;554.0;0.0;2564.0;0.1
Volksabstimmung;;;;
PSG;;;;
AfD;;;157781.0;6.8
BIG;;;;
pro Deutschland;2979.0;0.1;9736.0;0.4
DIE RECHTE;;;;
DIE FRAUEN;;;;
FREIE WÄHLER;27254.0;1.2;34858.0;1.5
Nichtwähler;;;;
PARTEI DER VERNUNFT;;;;
Die PARTEI;3852.0;0.2;;
B;;;;
BGD;1431.0;0.1;;
DKP;;;;
Übrige;5275.0;0.2;;
