Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;4148811.0;43.8;3776563.0;39.8
SPD;3472520.0;36.7;3028282.0;31.9
FDP;228962.0;2.4;498027.0;5.2
DIE LINKE;483918.0;5.1;582925.0;6.1
GRÜNE;606235.0;6.4;760642.0;8.0
CSU;;;;
PIRATEN;220636.0;2.3;209507.0;2.2
NPD;95784.0;1.0;94291.0;1.0
Tierschutzpartei;;;;
REP;2683.0;0.0;13848.0;0.1
ÖDP;2431.0;0.0;12978.0;0.1
FAMILIE;461.0;0.0;;
Bündnis 21/RRP;1550.0;0.0;5151.0;0.1
RENTNER;;;;
BP;;;;
PBC;;;;
BüSo;1377.0;0.0;1975.0;0.0
DIE VIOLETTEN;;;;
MLPD;4599.0;0.0;4600.0;0.0
Volksabstimmung;1748.0;0.0;17622.0;0.2
PSG;;;2155.0;0.0
AfD;171511.0;1.8;372258.0;3.9
BIG;;;10705.0;0.1
pro Deutschland;;;23243.0;0.2
DIE RECHTE;;;2245.0;0.0
DIE FRAUEN;;;;
FREIE WÄHLER;18250.0;0.2;25127.0;0.3
Nichtwähler;;;11349.0;0.1
PARTEI DER VERNUNFT;;;6888.0;0.1
Die PARTEI;5192.0;0.1;37776.0;0.4
B;;;;
BGD;;;;
DKP;;;;
Übrige;5925.0;0.1;;
