Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;97265.0;29.6;96459.0;29.3
SPD;133437.0;40.6;117204.0;35.6
FDP;6360.0;1.9;11204.0;3.4
DIE LINKE;28521.0;8.7;33284.0;10.1
GRÜNE;37667.0;11.5;40014.0;12.1
CSU;;;;
PIRATEN;8831.0;2.7;8455.0;2.6
NPD;3796.0;1.2;3640.0;1.1
Tierschutzpartei;;;3465.0;1.1
REP;;;;
ÖDP;;;;
FAMILIE;;;;
Bündnis 21/RRP;432.0;0.1;395.0;0.1
RENTNER;;;;
BP;;;;
PBC;;;;
BüSo;;;;
DIE VIOLETTEN;;;;
MLPD;207.0;0.1;156.0;0.0
Volksabstimmung;;;;
PSG;;;;
AfD;10764.0;3.3;12307.0;3.7
BIG;;;;
pro Deutschland;;;466.0;0.1
DIE RECHTE;;;;
DIE FRAUEN;;;;
FREIE WÄHLER;;;814.0;0.2
Nichtwähler;;;;
PARTEI DER VERNUNFT;;;;
Die PARTEI;1531.0;0.5;1549.0;0.5
B;;;;
BGD;;;;
DKP;;;;
Übrige;;;;
