Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;1399206.0;44.5;1232994.0;39.2
SPD;1080828.0;34.4;906906.0;28.8
FDP;81708.0;2.6;175144.0;5.6
DIE LINKE;167135.0;5.3;188654.0;6.0
GRÜNE;236653.0;7.5;313135.0;9.9
CSU;;;;
PIRATEN;74084.0;2.4;64655.0;2.1
NPD;38635.0;1.2;34115.0;1.1
Tierschutzpartei;;;;
REP;1239.0;0.0;8402.0;0.3
ÖDP;;;;
FAMILIE;;;;
Bündnis 21/RRP;;;;
RENTNER;;;;
BP;;;;
PBC;;;;
BüSo;613.0;0.0;1536.0;0.0
DIE VIOLETTEN;;;;
MLPD;325.0;0.0;1071.0;0.0
Volksabstimmung;;;;
PSG;;;1444.0;0.0
AfD;37910.0;1.2;176319.0;5.6
BIG;;;;
pro Deutschland;;;3754.0;0.1
DIE RECHTE;;;;
DIE FRAUEN;;;;
FREIE WÄHLER;11727.0;0.4;24929.0;0.8
Nichtwähler;;;;
PARTEI DER VERNUNFT;;;;
Die PARTEI;3869.0;0.1;15033.0;0.5
B;;;;
BGD;;;;
DKP;;;;
Übrige;7337.0;0.2;;
