Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;385043;28.2;385383;28.1
SPD;624803;45.7;617362;45.1
FDP;30520;2.2;35954;2.6
CSU;0;0.0;0;0.0
GRÜNE;43589;3.2;39593;2.9
PDS;276820;20.3;264239;19.3
REP;1194;0.1;15220;1.1
APD;0;0.0;0;0.0
BP;0;0.0;0;0.0
BüSo;0;0.0;0;0.0
BSA;0;0.0;0;0.0
LIGA;0;0.0;0;0.0
CM;0;0.0;0;0.0
ZENTRUM;0;0.0;0;0.0
GRAUE;2764;0.2;5287;0.4
NATURGESETZ;1127;0.1;3745;0.3
MLPD;0;0.0;399;0.0
Tierschutz;0;0.0;0;0.0
ödp;848;0.1;1492;0.1
PBC;0;0.0;0;0.0
PASS;0;0.0;0;0.0
STATT Partei;0;0.0;1646;0.1
BGD;0;0.0;0;0.0
DSU;0;0.0;0;0.0
DEMOKRATEN;0;0.0;0;0.0
FSU;0;0.0;0;0.0
LD;0;0.0;0;0.0
